Date,NOAA AR Number,Helicity Injection Rate (10^40 Mx^2/hr),Total Unsigned Flux (10^20 Mx),0-24 hr Predicted Flare Index,0-24 hr Observed Flare Index ,24-48 hr Predicted Flare Index ,24-48 hr Observed Flare Index ,0-24 hr C Flare Probability,24-48 hr C Flare Probability,0-24 hr M Flare Probability,24-48 hr M Flare Probability,0-24 hr X Flare Probability,24-48 hr X Flare Probability,0 - 24 hr GOES Soft X-ray Observation,,
20100419,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100420,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100421,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100422,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100423,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100424,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100425,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100426,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100427,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100428,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100429,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100430,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100501,,,,,,,,33%,30%,8%,9%,1%,1%,1,0,0
20100502,,,,,,,,33%,30%,8%,9%,1%,1%,0,0,0
20100503,,,,,,,,55%,51%,16%,16%,2%,1%,0,0,0
20100504,,,,,,,,45%,42%,13%,13%,1%,1%,1,0,0
20100505,,,,,,,,46%,42%,13%,13%,1%,1%,2,1,0
20100506,,,,,,,,56%,52%,16%,17%,2%,1%,0,0,0
20100507,,,,,,,,45%,41%,12%,13%,1%,1%,1,0,0
20100508,,,,,,,,45%,42%,13%,13%,1%,1%,3,0,0
20100509,,,,,,,,45%,42%,13%,13%,1%,1%,0,0,0
20100510,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100511,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100512,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100513,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100514,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100515,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100516,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100517,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100518,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100519,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100520,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100521,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100522,,,,,,,,22%,20%,5%,5%,1%,1%,0,0,0
20100523,,,,,,,,23%,21%,5%,5%,1%,1%,0,0,0
20100524,,,,,,,,19%,17%,5%,5%,1%,1%,0,0,0
20100525,,,,,,,,18%,17%,4%,4%,1%,1%,0,0,0
20100526,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100527,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100528,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100529,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100530,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100531,,,,,,,,34%,31%,9%,9%,1%,1%,0,0,0
20100601,,,,,,,,45%,41%,12%,13%,1%,1%,0,0,0
20100602,,,,,,,,33%,30%,9%,9%,1%,1%,0,0,0
20100603,,,,,,,,37%,34%,9%,9%,1%,1%,0,0,0
20100604,,,,,,,,45%,43%,11%,11%,1%,1%,0,0,0
20100605,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100606,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100607,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100608,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100609,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100610,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100611,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100612,,,,,,,,1%,1%,1%,1%,1%,1%,2,1,0
20100613,,,,,,,,1%,1%,1%,1%,1%,1%,6,1,0
20100614,,,,,,,,1%,1%,1%,1%,1%,1%,1,0,0
20100615,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100616,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100617,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100618,,,,,,,,19%,17%,4%,4%,1%,1%,0,0,0
20100619,,,,,,,,19%,18%,5%,5%,1%,1%,0,0,0
20100620,,,,,,,,33%,30%,9%,9%,1%,1%,0,0,0
20100621,,,,,,,,34%,31%,9%,9%,1%,1%,0,0,0
20100622,,,,,,,,19%,17%,5%,5%,1%,1%,0,0,0
20100623,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100624,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100625,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100626,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100627,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100628,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100629,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100630,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100701,,,,,,,,33%,30%,8%,9%,1%,1%,0,0,0
20100702,,,,,,,,19%,17%,4%,4%,1%,1%,0,0,0
20100703,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100706,,,,,,,,19%,17%,5%,5%,1%,1%,0,0,0
20100707,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100708,,,,,,,,1%,1%,1%,1%,1%,1%,1,0,0
20100709,,,,,,,,1%,1%,1%,1%,1%,1%,2,0,0
20100710,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100711,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100712,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100713,,,,,,,,24%,22%,5%,5%,1%,1%,1,0,0
20100714,,,,,,,,34%,31%,9%,9%,1%,1%,2,0,0
20100715,,,,,,,,34%,31%,9%,9%,1%,1%,0,0,0
20100716,,,,,,,,34%,31%,9%,9%,1%,1%,0,0,0
20100717,,,,,,,,33%,30%,8%,9%,1%,1%,1,0,0
20100718,,,,,,,,33%,30%,9%,9%,1%,1%,0,0,0
20100719,,,,,,,,30%,1%,9%,1%,1%,1%,0,0,0
20100720,,,,,,,,1%,1%,1%,1%,1%,1%,1,0,0
20100721,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100722,,,,,,,,1%,1%,1%,1%,1%,1%,0,0,0
20100723,,,,,,,,24%,22%,5%,5%,1%,1%,0,0,0
20100724,,,,,,,,27%,25%,6%,6%,1%,1%,0,0,0
20100725,,,,,,,,33%,32%,7%,7%,1%,1%,0,0,0
20100726,,,,,,,,33%,32%,7%,7%,1%,1%,0,0,0
20100727,,,,,,,,32%,1%,7%,1%,1%,1%,1,0,0
20100728,,,,,,,,20%,19%,5%,5%,1%,1%,1,0,0
20100729,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100801,,,,,,,,36%,33%,9%,9%,1%,1%,1,0,0
20100802,,,,,,,,21%,19%,5%,5%,1%,1%,0,0,0
20100803,,,,,,,,25%,23%,6%,6%,1%,1%,0,0,0
20100804,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100805,,,,,,,,20%,18%,5%,5%,1%,1%,1,0,0
20100807,,,,,,,,47%,44%,13%,13%,1%,1%,0,1,0
20100808,,,,,,,,47%,43%,13%,13%,1%,1%,0,0,0
20100809,,,,,,,,46%,42%,13%,13%,1%,1%,0,0,0
20100810,,,,,,,,46%,43%,13%,13%,1%,1%,0,0,0
20100811,,,,,,,,46%,43%,13%,13%,1%,1%,0,0,0
20100812,,,,,,,,48%,44%,13%,13%,1%,1%,0,0,0
20100812,,,,,,,,34%,31%,9%,9%,1%,1%,0,0,0
20100817,,,,,,,,18%,16%,4%,4%,1%,1%,0,0,0
20100818,11097,1.75745,226.841,2.8236,0,3.89917,0,20%,18%,5%,5%,0%,0%,0,0,0
20100821,11100,0.0725247,233.596,0.645076,0,1.07792,0,18%,16%,4%,4%,0%,0%,0,0,0
20100913,11106,19.5793,487.885,8.62358,0,10.3095,0,43%,42%,9%,9%,1%,1%,0,0,0
74050911,11106,0.471669,410.286,1.53542,0,2.29385,0,18%,17%,4%,4%,0%,0%,0,0,0
20100915,11106,0.471669,410.286,1.53542,0,2.29385,0,18%,17%,4%,4%,0%,0%,0,0,0
20100916,11106,1.00085,397.041,2.17548,0.00000000,3.10705,0.00000000,19%,17%,5%,5%,0%,0%,0,0,0
20100917,11106,0.903576,409.181,2.07486,0.52000001,2.98153,0.47000000,19%,17%,4%,5%,0%,0%,0,0,0
20100918,11106,0.265268,401.183,1.17614,0.41999999,1.81865,0.20999999,18%,16%,4%,4%,0%,0%,0,0,0
20100918,11108,7.07617,573.298,5.38237,0.23000000,6.83848,0.11500000,25%,24%,6%,6%,0%,0%,0,0,0
20100919,11106,0.539641,409.551,1.63421,0.24000001,2.42185,0.12000000,19%,17%,4%,4%,0%,0%,0,0,0
20100919,11108,4.73989,483.360,4.47064,0.35999998,5.81789,0.17999999,23%,21%,5%,5%,0%,0%,0,0,0
